date_time,response_time,response_time_bucket,date_time_hour_bucket
2020-06-09 08:41:24.897895,74.61,75,8
2020-06-09 08:41:25.975731,72.791,73,8
2020-06-09 08:41:27.052252,69.9,70,8
2020-06-09 08:41:28.125749,77.861,78,8
2020-06-09 08:41:29.207498,83.419,84,8
2020-06-09 08:41:30.295037,65.973,66,8
2020-06-09 08:41:31.364743,68.281,69,8
2020-06-09 08:41:32.437052,74.239,75,8
2020-06-09 08:41:33.515192,88.323,89,8
2020-06-09 08:41:34.607296,67.6,68,8
2020-06-09 08:41:35.678247,72.204,73,8
2020-06-09 08:41:36.754212,69.29,70,8
2020-06-09 08:41:37.827237,67.832,68,8
2020-06-09 08:41:38.899000,94.572,95,8
2020-06-09 08:41:39.997184,79.664,80,8
2020-06-09 08:41:41.080497,72.414,73,8
2020-06-09 08:41:42.157110,72.152,73,8
2020-06-09 08:41:43.232592,69.964,70,8
2020-06-09 08:41:44.307138,78.225,79,8
2020-06-09 08:41:45.389664,69.301,70,8
2020-06-09 08:41:46.462696,73.689,74,8
2020-06-09 08:41:47.540403,89.88,90,8
2020-06-09 08:41:48.634691,110.683,111,8
2020-06-09 08:41:49.749154,86.109,87,8
2020-06-09 08:41:50.839521,90.901,91,8
2020-06-09 08:41:51.934187,70.661,71,8
2020-06-09 08:41:53.008820,68.713,69,8
2020-06-09 08:41:54.082101,104.038,105,8
2020-06-09 08:41:55.190749,72.468,73,8
2020-06-09 08:41:56.267224,82.855,83,8
2020-06-09 08:41:57.352782,70.04,71,8
2020-06-09 08:41:58.425169,71.428,72,8
2020-06-09 08:41:59.499144,66.717,67,8
2020-06-09 08:42:00.568765,92.717,93,8
2020-06-09 08:42:01.665228,71.683,72,8
2020-06-09 08:42:02.740917,73.6,74,8
2020-06-09 08:42:03.819050,72.369,73,8
2020-06-09 08:42:04.895198,72.642,73,8
2020-06-09 08:42:05.972190,70.04,71,8
2020-06-09 08:42:07.045686,70.557,71,8
2020-06-09 08:42:08.119768,70.909,71,8
2020-06-09 08:42:09.194387,71.975,72,8
2020-06-09 08:42:10.269991,72.016,73,8
2020-06-09 08:42:11.345704,70.198,71,8
2020-06-09 08:42:12.419755,71.194,72,8
2020-06-09 08:42:13.494701,72.78,73,8
2020-06-09 08:42:14.570962,72.45,73,8
2020-06-09 08:42:15.647158,68.324,69,8
2020-06-09 08:42:16.719024,71.251,72,8
2020-06-09 08:42:17.793548,73.743,74,8
2020-06-09 08:42:18.870776,75.429,76,8
2020-06-09 08:42:19.950704,70.204,71,8
2020-06-09 08:42:21.023721,70.784,71,8
2020-06-09 08:42:22.098347,78.687,79,8
2020-06-09 08:42:23.180284,68.0,68,8
2020-06-09 08:42:24.252047,72.189,73,8
2020-06-09 08:42:25.327943,67.994,68,8
2020-06-09 08:42:26.399467,72.686,73,8
2020-06-09 08:42:27.475649,70.256,71,8
2020-06-09 08:42:28.549545,69.869,70,8
2020-06-09 08:42:29.622550,76.553,77,8
2020-06-09 08:42:30.702621,70.548,71,8
2020-06-09 08:42:31.777156,67.425,68,8
2020-06-09 08:42:32.848218,81.172,82,8
2020-06-09 08:42:33.933997,79.909,80,8
2020-06-09 08:42:35.017653,88.743,89,8
2020-06-09 08:42:36.110424,81.944,82,8
2020-06-09 08:42:37.200008,73.855,74,8
2020-06-09 08:42:38.277920,73.831,74,8
2020-06-09 08:42:39.355520,71.152,72,8
2020-06-09 08:42:40.429919,72.423,73,8
2020-06-09 08:42:41.507152,70.301,71,8
2020-06-09 08:42:42.581257,73.891,74,8
2020-06-09 08:42:43.657610,78.573,79,8
2020-06-09 08:42:44.739868,69.62,70,8
2020-06-09 08:42:45.812724,72.409,73,8
2020-06-09 08:42:46.889091,70.064,71,8
2020-06-09 08:42:47.962222,68.09,69,8
2020-06-09 08:42:49.034071,73.404,74,8
2020-06-09 08:42:50.112203,72.838,73,8
2020-06-09 08:42:51.188702,76.485,77,8
2020-06-09 08:42:52.268910,66.958,67,8
2020-06-09 08:42:53.338686,69.342,70,8
2020-06-09 08:42:54.411971,74.938,75,8
2020-06-09 08:42:55.490552,73.891,74,8
2020-06-09 08:42:56.567649,74.435,75,8
2020-06-09 08:42:57.647425,68.997,69,8
2020-06-09 08:42:58.720632,75.163,76,8
2020-06-09 08:42:59.799425,76.578,77,8
2020-06-09 08:43:00.878895,74.681,75,8
2020-06-09 08:43:01.957376,80.266,81,8
2020-06-09 08:43:03.040271,78.154,79,8
2020-06-09 08:43:04.120795,113.03,114,8
2020-06-09 08:43:05.237441,72.029,73,8
2020-06-09 08:43:06.313018,83.925,84,8
2020-06-09 08:43:07.401432,66.589,67,8
2020-06-09 08:43:08.471506,75.234,76,8
2020-06-09 08:43:09.550542,68.8,69,8
2020-06-09 08:43:10.622982,72.985,73,8
2020-06-09 08:43:11.699726,78.381,79,8
2020-06-09 08:43:12.781357,72.198,73,8
2020-06-09 08:43:13.857577,71.327,72,8
2020-06-09 08:43:14.932154,83.995,84,8
2020-06-09 08:43:16.019859,73.964,74,8
2020-06-09 08:43:17.097650,71.536,72,8
2020-06-09 08:43:18.172302,75.63,76,8
2020-06-09 08:43:19.252122,73.09,74,8
2020-06-09 08:43:20.327680,72.789,73,8
2020-06-09 08:43:21.404442,82.864,83,8
2020-06-09 08:43:22.490612,71.429,72,8
2020-06-09 08:43:23.565852,70.61,71,8
2020-06-09 08:43:24.640431,71.805,72,8
2020-06-09 08:43:25.714722,69.613,70,8
2020-06-09 08:43:26.788003,65.66,66,8
2020-06-09 08:43:27.857501,76.643,77,8
2020-06-09 08:43:28.937939,71.487,72,8
2020-06-09 08:43:30.013410,73.958,74,8
2020-06-09 08:43:31.090737,74.433,75,8
2020-06-09 08:43:32.168835,68.242,69,8
2020-06-09 08:43:33.240801,72.089,73,8
2020-06-09 08:43:34.317164,71.923,72,8
2020-06-09 08:43:35.392475,71.787,72,8
2020-06-09 08:43:36.468106,70.784,71,8
2020-06-09 08:43:37.542914,71.886,72,8
2020-06-09 08:43:38.617335,69.407,70,8
2020-06-09 08:43:39.691226,70.78,71,8
2020-06-09 08:43:40.765751,69.579,70,8
2020-06-09 08:43:41.838658,68.83,69,8
2020-06-09 08:43:42.910775,84.329,85,8
2020-06-09 08:43:43.999122,68.053,69,8
2020-06-09 08:43:45.071240,73.595,74,8
2020-06-09 08:43:46.148803,68.15,69,8
2020-06-09 08:43:47.220786,71.58,72,8
2020-06-09 08:43:48.295691,72.116,73,8
2020-06-09 08:43:49.371167,74.276,75,8
2020-06-09 08:43:50.449123,74.64,75,8
2020-06-09 08:43:51.527430,70.744,71,8
2020-06-09 08:43:52.602362,69.528,70,8
2020-06-09 08:43:53.675498,70.053,71,8
2020-06-09 08:43:54.748704,107.668,108,8
2020-06-09 08:43:55.859639,71.291,72,8
2020-06-09 08:43:56.935503,70.795,71,8
2020-06-09 08:43:58.009465,78.551,79,8
2020-06-09 08:43:59.092222,77.199,78,8
2020-06-09 08:44:00.174308,70.948,71,8
2020-06-09 08:44:01.249021,68.922,69,8
2020-06-09 08:44:02.320792,66.962,67,8
2020-06-09 08:44:03.392116,70.707,71,8
2020-06-09 08:44:04.467162,69.796,70,8
2020-06-09 08:44:05.540102,67.898,68,8
2020-06-09 08:44:06.612072,70.461,71,8
2020-06-09 08:44:07.686449,67.871,68,8
2020-06-09 08:44:08.758192,69.745,70,8
2020-06-09 08:44:09.831552,67.866,68,8
2020-06-09 08:44:10.903112,70.136,71,8
2020-06-09 08:44:11.977157,76.368,77,8
2020-06-09 08:44:13.057391,69.934,70,8
2020-06-09 08:44:14.130796,70.735,71,8
2020-06-09 08:44:15.204620,71.254,72,8
2020-06-09 08:44:16.279370,98.815,99,8
2020-06-09 08:44:17.382042,69.938,70,8
2020-06-09 08:44:18.455721,67.734,68,8
2020-06-09 08:44:19.527125,67.381,68,8
2020-06-09 08:44:20.598161,66.313,67,8
2020-06-09 08:44:21.668294,72.826,73,8
2020-06-09 08:44:22.744471,67.472,68,8
2020-06-09 08:44:23.816345,68.85,69,8
2020-06-09 08:44:24.888680,71.908,72,8
2020-06-09 08:44:25.964313,66.647,67,8
2020-06-09 08:44:27.034754,68.941,69,8
2020-06-09 08:44:28.107369,72.697,73,8
2020-06-09 08:44:29.183568,73.484,74,8
2020-06-09 08:44:30.260738,67.634,68,8
2020-06-09 08:44:31.332248,71.058,72,8
2020-06-09 08:44:32.407060,69.432,70,8
2020-06-09 08:44:33.480525,69.896,70,8
2020-06-09 08:44:34.553921,72.434,73,8
2020-06-09 08:44:35.630022,75.248,76,8
2020-06-09 08:44:36.708978,68.882,69,8
2020-06-09 08:44:37.782170,70.072,71,8
2020-06-09 08:44:38.855746,71.809,72,8
2020-06-09 08:44:39.932301,70.417,71,8
2020-06-09 08:44:41.006561,91.201,92,8
2020-06-09 08:44:42.101685,68.22,69,8
2020-06-09 08:44:43.174939,67.34,68,8
2020-06-09 08:44:44.245635,68.87,69,8
2020-06-09 08:44:45.317747,70.755,71,8
2020-06-09 08:44:46.392248,66.817,67,8
2020-06-09 08:44:47.462890,72.665,73,8
2020-06-09 08:44:48.539286,69.305,70,8
2020-06-09 08:44:49.612374,74.364,75,8
2020-06-09 08:44:50.690670,68.116,69,8
2020-06-09 08:44:51.762095,69.273,70,8
2020-06-09 08:44:52.834587,72.34,73,8
2020-06-09 08:44:53.910600,68.722,69,8
2020-06-09 08:44:54.983194,73.279,74,8
2020-06-09 08:44:56.060906,71.959,72,8
2020-06-09 08:44:57.136053,70.57,71,8
2020-06-09 08:44:58.210051,68.918,69,8
2020-06-09 08:44:59.282956,71.524,72,8
2020-06-09 08:45:00.358075,77.564,78,8
2020-06-09 08:45:01.439623,68.515,69,8
2020-06-09 08:45:02.511806,71.875,72,8
2020-06-09 08:45:03.587320,72.004,73,8
2020-06-09 08:45:04.662650,71.706,72,8
2020-06-09 08:45:05.737203,72.124,73,8
2020-06-09 08:45:06.813222,72.381,73,8
2020-06-09 08:45:07.889294,69.939,70,8
2020-06-09 08:45:08.963382,71.815,72,8
2020-06-09 08:45:10.038959,70.428,71,8
2020-06-09 08:45:11.113103,68.85,69,8
2020-06-09 08:45:12.185201,67.008,68,8
2020-06-09 08:45:13.256692,69.232,70,8
2020-06-09 08:45:14.328691,102.633,103,8
2020-06-09 08:45:15.435045,70.664,71,8
2020-06-09 08:45:16.509223,67.802,68,8
2020-06-09 08:45:17.580969,64.966,65,8
2020-06-09 08:45:18.649323,68.484,69,8
2020-06-09 08:45:19.721824,76.695,77,8
2020-06-09 08:45:20.802117,66.664,67,8
2020-06-09 08:45:21.872167,73.804,74,8
2020-06-09 08:45:22.950109,70.55,71,8
2020-06-09 08:45:24.024351,70.021,71,8
2020-06-09 08:45:25.097738,76.495,77,8
2020-06-09 08:45:26.177577,73.441,74,8
2020-06-09 08:45:27.253689,79.646,80,8
